#
# File 's4x4x4_47.bini.mod2.txt'
#
# Solution for the 4x4x4_47 matrix multiplication problem in Bini matrix (mod 2!) format
#
# Created: 27-Apr-2025 00:17:40
#
Bini 4 4 4 47

product Gamma                                             Alpha                                             Beta
  1 ;   0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0 ;  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 ;  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
  2 ;   1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0 ;  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0 ;  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0
  3 ;   0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0 ;  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0 ;  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0
  4 ;   0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0 ;  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0 ;  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0
  5 ;   0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0 ;  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0 ;  1  1  1  0  0  0  0  0  1  0  1  0  0  1  1  0
  6 ;   0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0 ;  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0 ;  0  0  1  1  0  0  0  0  0  1  1  1  0  1  1  0
  7 ;   1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0 ;  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  1 ;  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0
  8 ;   0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0 ;  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1 ;  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1
  9 ;   0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0 ;  0  0  1  0  0  0  1  1  0  0  0  0  0  0  0  0 ;  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0
 10 ;   0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0 ;  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1 ;  0  0  1  1  0  0  0  0  1  0  1  0  1  0  1  1
 11 ;   0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0 ;  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0 ;  1  0  0  0  0  1  1  0  1  1  0  0  0  0  0  0
 12 ;   0  1  0  0  1  1  0  0  1  1  1  0  0  0  0  0 ;  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0 ;  0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  0
 13 ;   0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  0 ;  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0 ;  0  1  0  0  1  0  1  0  0  0  0  0  1  1  0  0
 14 ;   0  0  0  0  1  0  0  0  1  1  1  0  0  1  0  0 ;  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0 ;  0  0  0  0  1  1  1  0  0  1  0  0  1  0  0  0
 15 ;   1  0  0  0  0  0  0  0  1  1  1  0  1  1  0  0 ;  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0 ;  0  0  0  0  1  0  1  0  0  0  0  0  1  0  0  0
 16 ;   0  0  0  0  0  0  1  1  0  0  0  1  0  0  0  0 ;  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0 ;  0  1  0  1  0  1  1  0  0  0  0  1  0  0  0  0
 17 ;   0  1  0  0  0  1  1  1  0  1  0  1  0  0  0  0 ;  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0 ;  0  1  0  0  0  1  1  0  0  0  0  0  0  0  0  0
 18 ;   0  0  0  0  0  1  1  1  0  0  0  1  0  1  0  0 ;  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0 ;  0  1  0  0  0  1  1  1  0  0  0  0  0  0  0  1
 19 ;   0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0 ;  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0 ;  0  0  0  0  0  0  1  1  0  1  0  0  0  1  0  1
 20 ;   0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0 ;  0  1  0  0  0  0  1  1  0  1  1  0  0  0  0  0 ;  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
 21 ;   0  0  0  1  0  1  1  1  0  0  0  0  0  1  0  1 ;  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0 ;  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1
 22 ;   0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0 ;  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0 ;  0  0  0  0  0  0  1  1  1  0  0  1  1  0  0  0
